index,RF_Regressor,train_set,ET_Regressor,XGB_Regressor,ensamble
235,1373.4248693901866,1294.0,1262.743528860029,1242.6359,1293.201065627007
235,1393.022822307095,1407.0,1377.9449923039917,1354.5172,1383.1212566312875
235,1487.644543962951,1349.0,1454.5997235449738,1407.8494,1424.773408185575
235,1549.7965639798779,1482.0,1523.9781428571423,1477.1315,1508.2265441408956
235,1883.714112201589,1827.0,2002.9293678451174,1879.2548,1898.2245601972236
235,1917.0497909923326,2256.0,2006.3975026455016,2141.6536,2080.2752145227396
235,1650.765417599005,1538.0,1506.286498677248,1534.683,1557.4337249186726
235,1509.6534568154404,1144.0,1356.2426203703708,1201.1748,1302.7677204683278
235,1582.2705250805084,1349.0,1484.1732647907652,1475.9167,1472.840134479537
235,1741.5302654129339,2212.0,1874.028595238096,2050.3523,1969.4777888932263
235,1813.935240539081,2292.0,2024.7767857142871,2104.2983,2058.7525915242795
235,1983.2036347360693,1823.0,2130.228126984127,1923.9364,1965.0920407718459
235,1848.9641885392307,1739.0,1965.5881177248666,1865.942,1854.8735807164148
235,1608.6143898767273,1459.0,1496.1976970899468,1417.5397,1495.3379399545593
235,1369.3074735293337,1304.0,1270.928362193362,1268.8557,1303.2728871533302
235,1394.6874798938838,1376.0,1372.1125954785948,1361.3685,1376.0421514114792
235,1487.3828274718462,1539.0,1479.3707566137577,1524.0956,1507.4622912850728
235,1569.4388462122724,1508.0,1555.3238174603175,1583.6278,1554.0976178224444
235,1996.7716265151225,2242.0,2221.1116878306875,2195.8652,2163.9371371802026
235,1944.8486751260996,1928.0,2109.2261679894177,1972.3317,1988.601627038645
235,1679.6802463363713,1446.0,1564.4895846560848,1444.3333,1533.6257707363952
235,1303.119735495292,1034.0,1207.3046902356903,1042.5514,1146.7439543331361
235,1335.0038737785771,1149.0,1310.8185134680134,1166.3021,1240.281127817507
235,1476.532486657286,1340.0,1501.4240701058202,1337.2302,1413.7966953431203
235,1595.941343540778,1650.0,1678.5807684722688,1660.968,1646.3725323977928
235,2130.5819625503295,2396.0,2334.886559523808,2421.1614,2320.6574747568156
235,2134.4748138280847,2494.0,2273.8744365079356,2457.238,2339.896821861349
235,1803.0790794395425,1720.0,1609.2491547619047,1720.6858,1713.253506304268
235,1445.0791019971252,1349.0,1252.13469023569,1334.1948,1345.1021541128912
235,1522.7223944952952,1510.0,1382.6738944203948,1535.646,1487.76057125236
235,1603.6475586741403,1684.0,1572.0324669312174,1702.9836,1640.6659170458706
235,4649.662365268374,5498.0,4871.619047619046,5388.273,5101.888590526542
235,4288.0332987931815,5178.0,4896.307138888886,5164.8257,4881.791530318955
235,3534.6269930347426,3876.0,4100.050753968252,4098.834,3902.377932844499
235,3269.8595009990013,3206.0,3212.5155039682536,3138.494,3206.7172253629074
235,2886.548852775664,2565.0,2718.437038359789,2597.7793,2691.9412970026133
235,2967.8013610041908,3150.0,2979.3210899470887,3146.0044,3060.7817113706324
235,2944.809410490652,3260.0,3013.706968253968,3202.7915,3105.3269706627175
235,1737.3718206234678,2002.0,1734.7840832870831,1995.0553,1867.3028004405285
235,2176.547255625834,2646.0,2396.5969365079354,2584.5894,2450.9333869006296
235,2162.252248595231,2551.0,2340.012948412698,2520.9185,2393.5459135097944
235,1836.6436427785186,1810.0,1627.0090119047618,1824.1074,1774.44001913957
235,1404.9706841428042,1334.0,1238.5900052910054,1319.6375,1324.2995351514212
235,1461.1777386246197,1415.0,1364.9500687830691,1445.4026,1421.6325988245785
